show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s10000,Movie,Netflix Original 0,Christopher Nolan,"Leonardo DiCaprio, Kate Winslet",South Korea,"January 01, 2015",2001,R,87 min,Children & Family Movies,A suspenseful mystery that keeps you guessing.
s10001,TV Show,Netflix Original 1,Ava DuVernay,,United Kingdom,"January 06, 2015",1999,,129 min,Documentaries,A fast-paced action adventure full of twists.
s10002,Movie,Netflix Original 2,Greta Gerwig,"Emma Stone, Ryan Gosling",United States,"January 11, 2015",1995,PG-13,100 min,"Dramas, International Movies",A chilling horror story that will haunt your dreams.
s10003,Movie,Netflix Original 3,Ava DuVernay,"Chris Evans, Scarlett Johansson",United States,"January 16, 2015",2007,PG-13,75 min,"Dramas, International Movies",A romantic tale that spans across decades.
s10004,Movie,Netflix Original 4,Christopher Nolan,"Leonardo DiCaprio, Kate Winslet",,"January 21, 2015",2015,,,Children & Family Movies,A fast-paced action adventure full of twists.
s10005,TV Show,Netflix Original 5,Zoya Akhtar,"Tom Hanks, Robin Wright",Canada,"January 26, 2015",2020,,107 min,Documentaries,A heartwarming tale of friendship and resilience.
s10006,Movie,Netflix Original 6,,"Emma Stone, Ryan Gosling",India,"January 31, 2015",2012,PG,4 Seasons,Romantic Movies,A suspenseful mystery that keeps you guessing.
s10007,Movie,Netflix Original 7,Bong Joon-ho,"Aamir Khan, Kareena Kapoor",United Kingdom,"February 05, 2015",2007,TV-14,4 Seasons,"Dramas, International Movies",A fast-paced action adventure full of twists.
s10008,Movie,Netflix Original 8,Zoya Akhtar,,United States,"February 10, 2015",2015,TV-MA,118 min,"Dramas, International Movies",A fast-paced action adventure full of twists.
s10009,TV Show,Netflix Original 9,Steven Spielberg,"Tom Hanks, Robin Wright",United Kingdom,"February 15, 2015",2015,,2 Seasons,Documentaries,A chilling horror story that will haunt your dreams.
s10010,Movie,Netflix Original 10,Bong Joon-ho,"Shah Rukh Khan, Kajol",India,"February 20, 2015",2012,,2 Seasons,Action & Adventure,An emotional journey through life's biggest challenges.
s10011,Movie,Netflix Original 11,,"Chris Evans, Scarlett Johansson",South Korea,"February 25, 2015",1999,TV-MA,135 min,"Dramas, International Movies",A suspenseful mystery that keeps you guessing.
s10012,Movie,Netflix Original 12,Steven Spielberg,"Shah Rukh Khan, Kajol",Canada,"March 02, 2015",2007,TV-PG,70 min,"Comedies, Dramas",A romantic tale that spans across decades.
s10013,Movie,Netflix Original 13,Zoya Akhtar,"Tom Hanks, Robin Wright",United Kingdom,"March 07, 2015",1998,TV-14,148 min,Documentaries,A heartwarming tale of friendship and resilience.
s10014,,Netflix Original 14,Greta Gerwig,"Leonardo DiCaprio, Kate Winslet",United States,"March 12, 2015",2011,TV-MA,2 Seasons,"Dramas, International Movies",A suspenseful mystery that keeps you guessing.
s10015,Movie,Netflix Original 15,Bong Joon-ho,"Emma Stone, Ryan Gosling",United States,"March 17, 2015",1997,TV-14,78 min,Children & Family Movies,A gripping drama about love and sacrifice.
s10016,TV Show,Netflix Original 16,Bong Joon-ho,"Tom Hanks, Robin Wright",Canada,"March 22, 2015",2011,TV-14,3 Seasons,Horror Movies,An emotional journey through life's biggest challenges.
s10017,TV Show,Netflix Original 17,Bong Joon-ho,,United Kingdom,"March 27, 2015",2022,PG-13,114 min,"Comedies, Dramas",A gripping drama about love and sacrifice.
